car_id,first_online_date,car_sold_on_date,manufacturer,model,fuel_type,buy_price,last_online_price,market_reference_price,is_sold,missing_buy_price,days_online,gross_margin_eur,profit_margin_pct,age_bucket
1278912073,22/10/2024,13/11/2024,Opel,Zafira Tourer,Diesel,10014,15955,15620,1,FALSE,22,5941,59.33,15-30
1279095793,17/10/2024,,Volkswagen,T-Roc,Benzin,17741,21371,22532,0,FALSE,379,3630,20.46,365+
1279193674,08/10/2024,,Volkswagen,Golf VII,Benzin,6670,10173,10819,0,FALSE,388,3503,52.52,365+
1279859713,07/10/2024,,BMW,X3,Diesel,32793,39932,39257,0,FALSE,389,7139,21.77,365+
1279917238,25/10/2024,30/10/2024,Ford,Focus,Benzin,6139,9770,10220,1,FALSE,5,3631,59.15,0-7
1279729209,23/09/2024,16/11/2024,Seat,Ibiza,Benzin,7401,12526,11624,1,FALSE,54,5125,69.25,31-60
1274060364,06/11/2024,,Volkswagen,Golf VII,Benzin,11307,13568,14791,0,FALSE,359,2261,20,181-365
1281138969,17/10/2024,,Toyota,Aygo,Benzin,5730,9866,10864,0,FALSE,379,4136,72.18,365+
1279438272,10/12/2024,,Seat,Alhambra,Diesel,22411,28787,29001,0,FALSE,325,6376,28.45,181-365
1272622844,03/12/2024,,Volkswagen,Tiguan,Benzin,9301,13055,12626,0,FALSE,332,3754,40.36,181-365
1279075293,27/09/2024,29/11/2024,Kia,Sportage,Benzin,15047,16427,17568,1,FALSE,63,1380,9.17,61-90
1282358850,18/11/2024,28/11/2024,Volkswagen,T-Roc,Benzin,17956,22951,24081,1,FALSE,10,4995,27.82,Aug-14
1282857382,19/12/2024,02/01/2025,Smart,fortwo,Benzin,11097,14353,15158,1,FALSE,14,3256,29.34,Aug-14
1281221718,25/10/2024,29/10/2024,Toyota,Yaris,Hybrid,6364,11826,13734,1,FALSE,4,5462,85.83,0-7
1283398684,13/12/2024,,Audi,A4,Benzin,14445,22149,20898,0,FALSE,322,7704,53.33,181-365
1276535958,01/10/2024,,Fiat,500,Benzin,7900,11347,9575,0,FALSE,395,3447,43.63,365+
1280042242,26/09/2024,23/10/2024,Hyundai,i30,Benzin,12885,17484,17518,1,FALSE,27,4599,35.69,15-30
1280133695,19/09/2024,,Kia,Stonic,Benzin,12923,13820,13241,0,FALSE,407,897,6.94,365+
1280834410,11/10/2024,04/12/2024,BMW,2er,Diesel,14374,17476,17459,1,FALSE,54,3102,21.58,31-60
1284433083,12/12/2024,,Seat,Leon,Benzin,11167,15696,15022,0,FALSE,323,4529,40.56,181-365
1277609008,25/09/2024,,Mercedes-Benz,C-Klasse,Hybrid,20845,24022,24074,0,FALSE,401,3177,15.24,365+
1277852880,29/10/2024,05/12/2024,Seat,Leon,Diesel,11851,17189,15107,1,FALSE,37,5338,45.04,31-60
1282563284,19/11/2024,,Skoda,Kodiaq,Diesel,19633,26298,28019,0,FALSE,346,6665,33.95,181-365
1279136023,19/12/2024,,Skoda,Fabia,Benzin,7771,13431,14162,0,FALSE,316,5660,72.83,181-365
1277216459,19/12/2024,,Hyundai,i10,Benzin,9733,11994,11931,0,FALSE,316,2261,23.23,181-365
1279668388,08/11/2024,,Hyundai,Tucson,Benzin,14606,20560,20466,0,FALSE,357,5954,40.76,181-365
1280626362,10/10/2024,,BMW,3er,Diesel,15206,21228,19835,0,FALSE,386,6022,39.6,365+
1279035224,17/09/2024,05/12/2024,Volkswagen,Tiguan,Benzin,7471,12458,11405,1,FALSE,79,4987,66.75,61-90
1279259660,19/11/2024,,Volkswagen,Golf VII,Benzin,10722,15146,13559,0,FALSE,346,4424,41.26,181-365
1281698676,16/11/2024,,Ford,Kuga,Hybrid,25480,29010,28769,0,FALSE,349,3530,13.85,181-365
1283207433,19/11/2024,,Toyota,Aygo,Benzin,5524,9545,9912,0,FALSE,346,4021,72.79,181-365
1279858599,30/09/2024,,Smart,fortwo,Benzin,7929,11051,11431,0,FALSE,396,3122,39.37,365+
1283821819,06/12/2024,30/12/2024,Volkswagen,Touran,Diesel,12606,20518,20141,1,FALSE,24,7912,62.76,15-30
